2N7002-7-F	from hqew, 捷辉电子商行	PIOPES	&nbsp;	4010	SOT-23
EDEN ESP 10K(133*7.5)1.25V	from hqew, 捷辉电子商行	VIA	0419+	6	BGA
EP82562ET	from hqew, 捷辉电子商行	INTEL	0623+	9	BGA
EP82562G	from hqew, 捷辉电子商行	INTEL	0551+	1	BGA
FW82801BA SL5WK	from hqew, 捷辉电子商行	INTEL	0210+	17	BGA
FW82801DB SL66K	from hqew, 捷辉电子商行	INTEL	0241+	17	BGA
FW82801DB SL66K	from hqew, 捷辉电子商行	INTEL	0315+	4	BGA
FW82801DB SL66K	from hqew, 捷辉电子商行	INTEL	0412+	1	BGA
FW82801DB SL66K	from hqew, 捷辉电子商行	INTEL	0245+	2	BGA
FW82801DB SL6DM	from hqew, 捷辉电子商行	INTEL	0605+	3	BGA
FW82801ER SL742	from hqew, 捷辉电子商行	INTEL	0539+	17	BGA
FW82801ER SL742	from hqew, 捷辉电子商行	INTEL	0529+	22	BGA
FW82801ER SL742	from hqew, 捷辉电子商行	INTEL	0514+	18	BGA
FW82801ER SL742	from hqew, 捷辉电子商行	INTEL	0538+	30	BGA
FW82801FB SL7Y5	from hqew, 捷辉电子商行	INTEL	0536+	107	BGA
FW82801FR SL79N	from hqew, 捷辉电子商行	INTEL	0423+	2	BGA
FW82801FR SL7W7	from hqew, 捷辉电子商行	INTEL	0531+	1	BGA
FW82810 SL3P7	from hqew, 捷辉电子商行	INTEL	0047+	2	BGA
FW82810E SL3MD	from hqew, 捷辉电子商行	INTEL	0220+	10	BGA
FW82815 SL5YN	from hqew, 捷辉电子商行	INTEL	0244+	10	BGA
FX5200 SE	from hqew, 捷辉电子商行	NVIDIA	0416+	18	BGA
FX5200-NPB	from hqew, 捷辉电子商行	NVIDIA	0706+	102	BGA
FX5200-NPB	from hqew, 捷辉电子商行	NVIDIA	0718+	1	BGA
FX5200-NPB	from hqew, 捷辉电子商行	NVIDIA	0716+	3	BGA
FX5200-SE	from hqew, 捷辉电子商行	NVIDIA	0328+	18	BGA
FX5500	from hqew, 捷辉电子商行	NVIDIA	0446+	7	BGA
FX5700	from hqew, 捷辉电子商行	NVIDIA	0511+	128	BGA
G200-105-B3	from hqew, 捷辉电子商行	NVIDIA	0935+	1	BGA
G200-350-B3	from hqew, 捷辉电子商行	NVIDIA	1001+	2	BGA
G200-350-B3	from hqew, 捷辉电子商行	NVIDIA	0851+	1	BGA
G71-N-A2	from hqew, 捷辉电子商行	NVIDIA	0641+	1	BGA
G73-GT-H-N-B1	from hqew, 捷辉电子商行	NVIDIA	0733+	1	BGA
G73-GT-N-A2	from hqew, 捷辉电子商行	NVIDIA	0716+	3	BGA
G73-GT-N-B1	from hqew, 捷辉电子商行	NVIDIA	0736+	17	BGA
G73-N-B1	from hqew, 捷辉电子商行	NVIDIA	0824+	3	BGA
G73-VZ-H-N-B1	from hqew, 捷辉电子商行	NVIDIA	0913+	3	BGA
G73-VZ-N-A2	from hqew, 捷辉电子商行	NVIDIA	0639+	9	BGA
G84-403-A2	from hqew, 捷辉电子商行	NVIDIA	0731+	1	BGA
G84-403-A2	from hqew, 捷辉电子商行	NVIDIA	0746+	2	BGA
G84-403-A2	from hqew, 捷辉电子商行	NVIDIA	0745+	2	BGA
G92-159-A2	from hqew, 捷辉电子商行	NVIDIA	0825+	45	BGA
G92-159-A2	from hqew, 捷辉电子商行	NVIDIA	0847+R	3	BGA
G92-159-A2	from hqew, 捷辉电子商行	NVIDIA	0838+R	23	BGA
G92-289-B1	from hqew, 捷辉电子商行	NVIDIA	0941+	1	BGA
G92-420-B1	from hqew, 捷辉电子商行	NVIDIA	0828+	2	BGA
G94-210-A1	from hqew, 捷辉电子商行	NVIDIA	0840+	2	BGA
G94-210-A1	from hqew, 捷辉电子商行	NVIDIA	0906+	2	BGA
G94-300-B1	from hqew, 捷辉电子商行	NVIDIA	0834+	40	BGA
G94-309-B1	from hqew, 捷辉电子商行	NVIDIA	0834+	77	BGA
G94-358-B1	from hqew, 捷辉电子商行	NVIDIA	0949+	4	BGA
G94-359-B1	from hqew, 捷辉电子商行	NVIDIA	0949+	3	BGA
G94-359-B1	from hqew, 捷辉电子商行	NVIDIA	0909+	3	BGA
G98-400-A2	from hqew, 捷辉电子商行	NVIDIA	0822+	23	BGA
G98-400-A2	from hqew, 捷辉电子商行	NVIDIA	0749+	3	BGA
GD82559	from hqew, 捷辉电子商行	INTEL	1121+	7	BGA
GF-2GTS-TIVX	from hqew, 捷辉电子商行	NVIDIA	0140+	25	BGA
GF-3TM-H	from hqew, 捷辉电子商行	NVIDIA	0127+	7	BGA
GF-4TM-TI	from hqew, 捷辉电子商行	NVIDIA	0415+	10	BGA
GF-6200TC-N-A2	from hqew, 捷辉电子商行	NVIDIA	0722+	10	BGA
GF-6200TC-N-B2	from hqew, 捷辉电子商行	NVIDIA	0614+	17	BGA
GF-6500-A2	from hqew, 捷辉电子商行	NVIDIA	0529+	2	BGA
GF-6500-A2	from hqew, 捷辉电子商行	NVIDIA	0453+	1	BGA
GF-6500-N-A2	from hqew, 捷辉电子商行	NVIDIA	0536+	33	BGA
GF-6600-A4	from hqew, 捷辉电子商行	NVIDIA	0550+	1	BGA
GF-6600-GT-N-A4	from hqew, 捷辉电子商行	NVIDIA	0727+	60	BGA
GF-6600-LE-A4	from hqew, 捷辉电子商行	NVIDIA	0602+	8	BGA
GF-6600-LE-A4	from hqew, 捷辉电子商行	NVIDIA	0535+	1	BGA
GF-6600-N-A4	from hqew, 捷辉电子商行	NVIDIA	0726+	2	BGA
GF-6800-GT-A1	from hqew, 捷辉电子商行	NVIDIA	0437+	4	BGA
GF-6800-GT-A1	from hqew, 捷辉电子商行	NVIDIA	0453+	1	BGA
GF-6800-GT-A1	from hqew, 捷辉电子商行	NVIDIA	0431+	1	BGA
GF-7100GS-N-A2	from hqew, 捷辉电子商行	NVIDIA	0606+	44	BGA
GF-7100GS-N-A2	from hqew, 捷辉电子商行	NVIDIA	0719+	10	BGA
GF-7100GS-N-B2	from hqew, 捷辉电子商行	NVIDIA	0724+	5	BGA
GF-7100GS-N-B2	from hqew, 捷辉电子商行	NVIDIA	0602+	12	BGA
GF-7200GS-N-B1	from hqew, 捷辉电子商行	NVIDIA	0837+	1	BGA
GF-8100-720A-A2	from hqew, 捷辉电子商行	NVIDIA	0830+	23	BGA
GF-FX5900-XT	from hqew, 捷辉电子商行	NVIDIA	0329+	22	BGA
GO5650	from hqew, 捷辉电子商行	NVIDIA	0323+	6	BGA
GT210-205-A3	from hqew, 捷辉电子商行	NVIDIA	1012+	4	BGA
GT218-300-B1	from hqew, 捷辉电子商行	NVIDIA	1234+	2	BGA
H5PS1G63EFR-20L	from hqew, 捷辉电子商行	HY	0848+	7	BGA
HSI-A4	from hqew, 捷辉电子商行	NVIDIA	0539+	10	BGA
HSI-N-A4	from hqew, 捷辉电子商行	NVIDIA	0713+	4	BGA
HY57V641620HG	from hqew, 捷辉电子商行	HY	0145+	12	TSSOP54
HY5DU281622ET-33	from hqew, 捷辉电子商行	HY	0419+	1	TSSOP66
HY5DU281622ET-4	from hqew, 捷辉电子商行	HY	0420+	7	TSSOP66
HY5DU561622CT-4	from hqew, 捷辉电子商行	HY	0509+	10	TSSOP66
HY5DU561622CT-4	from hqew, 捷辉电子商行	HY	0505+	7	TSSOP66
HY5DU561622CT-5	from hqew, 捷辉电子商行	HY	0510+	10	TSSOP66
HY5DU561622DT-5	from hqew, 捷辉电子商行	HY	0533+	38	TSSOP66
HY5DU561622DT-5	from hqew, 捷辉电子商行	HY	0507+	1	TSSOP66
HY5DU561622ETP-4	from hqew, 捷辉电子商行	HY	0545+	16	TSSOP66
HY5DU561622ETP-4	from hqew, 捷辉电子商行	HY	0705+	21	TSSOP66
HY5DU561622ETP-5	from hqew, 捷辉电子商行	HY	0647+	169	SOP
HY5DU561622ETP-5	from hqew, 捷辉电子商行	HY	0617+	95	SOP
HY5DU573222FP-28	from hqew, 捷辉电子商行	HY	0537+	119	BGA
HY5DV281622DT-36	from hqew, 捷辉电子商行	HY	0252+	43	TSSOP66
HY5DV281622DT-4S	from hqew, 捷辉电子商行	HY	0402+	25	TSSOP66
HY5PS121621CFP-2	from hqew, 捷辉电子商行	HY	0748+	25	BGA
HY5PS121621CFP-2	from hqew, 捷辉电子商行	HY	0737+	30	BGA
HY5PS121621CFP-25	from hqew, 捷辉电子商行	HY	0749+	7	BGA
HY5PS121621CFP-25	from hqew, 捷辉电子商行	HY	0807+	16	BGA
HY5PS121621CFP-25	from hqew, 捷辉电子商行	HY	0734+	14	BGA
HY5PS121621CFP-Y5	from hqew, 捷辉电子商行	HY	0917+	9	BGA
HY5PS561621AFP-25	from hqew, 捷辉电子商行	HY	0705+	115	BGA
HY5PS561621AFP-28	from hqew, 捷辉电子商行	HY	0705+	34	BGA
HY5PS561621AFP-28	from hqew, 捷辉电子商行	HY	0640+	14	BGA
HY5PS561621AFP-28	from hqew, 捷辉电子商行	HY	0540+	87	BGA
HY5PS561621BFP-25	from hqew, 捷辉电子商行	HY	0726+	160	BGA
HY5PS561621BFP-25	from hqew, 捷辉电子商行	HY	0810+	69	BGA
HY5RS123235BFP-11	from hqew, 捷辉电子商行	HY	0705+	80	BGA
HYB18H512321BF-10	from hqew, 捷辉电子商行	INFINEN	0820+	76	BGA
HYB18H512321BF-10	from hqew, 捷辉电子商行	QIMONDD	0736+	10	BGA
HYB18H512321BF-10	from hqew, 捷辉电子商行	QIMONDD	0730+	10	BGA
HYB18T512161B2F-20	from hqew, 捷辉电子商行	QIMONDD	0806+	19	BGA
HYB18T512161B2F-20	from hqew, 捷辉电子商行	QIMONDD	0802+	1	BGA
HYB18T512161CF-20	from hqew, 捷辉电子商行	QIMONDD	0830+	5	BGA
IS42S16800D-7TL	from hqew, 捷辉电子商行	ISSI	0649+	10	TSSOP54
IS42S32200C1-6TL	from hqew, 捷辉电子商行	ISSI	0535+	56	TSSOP86
ISL6614ACBZ	from hqew, 捷辉电子商行	INTERSIL	0513+	50	SOP14
ISP1561BM	from hqew, 捷辉电子商行	PHILIPS	0641+	10	TQFP128
IT8213F/AXS	from hqew, 捷辉电子商行	ITE	1002+	13	QFP128
IT8661F/EYS	from hqew, 捷辉电子商行	ITE	0937+	10	QFP128
IT8700F/FXS	from hqew, 捷辉电子商行	ITE	0239+	93	QFP128
IT8712F-A GXS GB	from hqew, 捷辉电子商行	ITE	0547+	580	QFP128
IT8712F-A HXS	from hqew, 捷辉电子商行	ITE	0425+	7	QFP128
IT8712F-A/GXS/GB	from hqew, 捷辉电子商行	ITE	0544+	4	QFP128
IT8712F-A/HXS	from hqew, 捷辉电子商行	ITE	0524+	7	QFP128
IT8712F-A/IXS/GB	from hqew, 捷辉电子商行	ITE	0546+	598	QFP128
IT8712F-A-GXS	from hqew, 捷辉电子商行	ITE	0509+	70	QFP128
IT8712F-A-GXS GB	from hqew, 捷辉电子商行	ITE	0547+	580	QFP128
IT8712F-A-IXS	from hqew, 捷辉电子商行	ITE	0528+	129	QFP128
IT8712F-S/KXS	from hqew, 捷辉电子商行	ITE	0916+	2	QFP128
IT8712F-S/KXS/GB	from hqew, 捷辉电子商行	ITE	0827+	4	QFP128
IT8716F-S DXS	from hqew, 捷辉电子商行	ITE	0711+	3	QFP128
IT8716F-S/FXS/GB	from hqew, 捷辉电子商行	ITE	0846+	22	QFP128
IT8716F-S-FXS GB	from hqew, 捷辉电子商行	ITE	0811+	22	QFP128
IT8718F-S CXS GB	from hqew, 捷辉电子商行	ITE	0635+	1	QFP128
IT8718F-S/BXS	from hqew, 捷辉电子商行	ITE	0614+	26	QFP128
IT8718F-S/GXC	from hqew, 捷辉电子商行	ITE	0823+	9	QFP128
IT8720F/FXS/GB	from hqew, 捷辉电子商行	ITE	0822+	43	QFP128
IT8725E EXS	from hqew, 捷辉电子商行	ITE	1044+	62	QFP48
JG82865G SL99Y	from hqew, 捷辉电子商行	INTEL	0620+	20	BGA
JG82865G SL99Y	from hqew, 捷辉电子商行	INTEL	0630+	2	BGA
JG82865G SL99Y	from hqew, 捷辉电子商行	INTEL	0837+	18	BGA
JG82865PE SL7YE	from hqew, 捷辉电子商行	INTEL	0437+	109	BGA
JM20330	from hqew, 捷辉电子商行	JMICRON	0707+	23	QFP64
K4D261638E-TC40	from hqew, 捷辉电子商行	SAMSUNG	0352+	10	TSSOP66
K4D261638E-TC40	from hqew, 捷辉电子商行	SAMSUNG	0416+	5	TSSOP66
K4D261638F-TC36	from hqew, 捷辉电子商行	SAMSUNG	0416+	2	TSSOP66
K4D261638F-TC36	from hqew, 捷辉电子商行	SAMSUNG	0431+	90	TSSOP
K4D263238E-GC2A	from hqew, 捷辉电子商行	SAMSUNG	0428+	5	BGA
K4D551638F-TC40	from hqew, 捷辉电子商行	SAMSUNG	0516+	89	TSSOP
K4D551638F-TC50	from hqew, 捷辉电子商行	SAMSUNG	0334+	1	TSSOP66
K4D551638F-TC50	from hqew, 捷辉电子商行	SAMSUNG	0504+	54	TSSOP
K4J10324QD-HC12	from hqew, 捷辉电子商行	SAMSUNG	0825+	6	BGA
K4J52324QH-HJ08	from hqew, 捷辉电子商行	SAMSUNG	0913+	20	BGA
K4J55323QF-GC16	from hqew, 捷辉电子商行	SAMSUNG	0519+	15	BGA
K4J55323QF-GC16	from hqew, 捷辉电子商行	SAMSUNG	0516+	23	BGA
K4J55323QG-BC14	from hqew, 捷辉电子商行	SAMSUNG	0643+	2	BGA
K4N56163QG-ZC25	from hqew, 捷辉电子商行	SAMSUNG	0701+	8	BGA
K4N56163QI-ZC25	from hqew, 捷辉电子商行	SAMSUNG	0752+	376	BGA
K4W1G1646D-EJ11	from hqew, 捷辉电子商行	SAMSUNG	0916+	39	BGA
K4W1G1646G-BC11	from hqew, 捷辉电子商行	SAMSUNG	1119+	1	BGA
KM400 CD	from hqew, 捷辉电子商行	VIA	0431+	17	BGA
KT333	from hqew, 捷辉电子商行	VIA	0302+	17	BGA
LE82GS965 SLAHZ	from hqew, 捷辉电子商行	INTEL	0805+	92	BGA
LE82P31 SLASK	from hqew, 捷辉电子商行	INTEL	0750+	35	BGA
LE82P31 SLASK	from hqew, 捷辉电子商行	INTEL	0824+	7	BGA
LE82P35 SLA9R	from hqew, 捷辉电子商行	INTEL	0734+	9	BGA
LE82P35 SLA9R	from hqew, 捷辉电子商行	INTEL	0739+	72	BGA
LE82P965 SL9NU	from hqew, 捷辉电子商行	INTEL	0633+	106	BGA
LE82P965 SL9QX	from hqew, 捷辉电子商行	INTEL	0632+	9	BGA
LE82P965 SL9QX	from hqew, 捷辉电子商行	INTEL	0649+	71	BGA
LE82P965 SL9QX	from hqew, 捷辉电子商行	INTEL	0640+	6	BGA
LE82Q35 SLAEX	from hqew, 捷辉电子商行	INTEL	0814+	43	BGA
LE82Q35 SLAEX	from hqew, 捷辉电子商行	INTEL	0840+	1	BGA
LE82Q965 SL9QZ	from hqew, 捷辉电子商行	INTEL	0709+	13	BGA
LE82Q965 SL9QZ	from hqew, 捷辉电子商行	INTEL	0706+	25	BGA
LPC47M997-NR	from hqew, 捷辉电子商行	SMSC	0538+	91	QFP128
LPC47M997-NR	from hqew, 捷辉电子商行	SMSC	0532+	143	QFP128
LPC47M997-NR	from hqew, 捷辉电子商行	SMSC	0543+	43	QFP128
LPC47M997-NR	from hqew, 捷辉电子商行	SMSC	0535+	1	QFP128
LSISAS1068E B2	from hqew, 捷辉电子商行	LSI	0725+	3	BGA
MPC8347VVAJD	from hqew, 捷辉电子商行	FREESCAL	0818+	8	BGA
MX25L8005M2C	from hqew, 捷辉电子商行	MXIC	0844+	5	SOP8
MX29LV160CRTC-70G	from hqew, 捷辉电子商行	MX	0805+	98	TSOP48
MX4000	from hqew, 捷辉电子商行	NVIDIA	0416+	1	BGA
MX4000	from hqew, 捷辉电子商行	NVIDIA	0419+	1	BGA
MX4000	from hqew, 捷辉电子商行	NVIDIA	0529+	11	BGA
MX440-8X	from hqew, 捷辉电子商行	NVIDIA	0528+	22	BGA
M13L64164A-3.8T	from hqew, 捷辉电子商行	ESMT	0138+	20	TSSOP66
M1541-A1	from hqew, 捷辉电子商行	ALI	0143+	20	BGA
M1689B1	from hqew, 捷辉电子商行	ALI	0541+	35	BGA
M1689B1	from hqew, 捷辉电子商行	ALI	0449+	1	BGA
M1689B1	from hqew, 捷辉电子商行	ALI	0513+	2	BGA
M1689B1	from hqew, 捷辉电子商行	ALI	0516+	9	BGA
M1689B1	from hqew, 捷辉电子商行	ALI	0548+	3	BGA
MAX1902EAI+T	from hqew, 捷辉电子商行	AD	0839+	4358	SSOP28
MAX4890ETJ	from hqew, 捷辉电子商行	MAXIM	05+	10	QFN
N2DS25616CT-5T	from hqew, 捷辉电子商行	ELIXIR	0445+	10	TSSOP66
NF3-250-A2	from hqew, 捷辉电子商行	NVIDIA	0535+	21	BGA
NF3-250-A2	from hqew, 捷辉电子商行	NVIDIA	0536+	263	BGA
NF3-250-A2	from hqew, 捷辉电子商行	NVIDIA	0543+	2	BGA
NF3-250GB-A2	from hqew, 捷辉电子商行	NVIDIA	0452+	240	BGA
NF3-250GB-A2	from hqew, 捷辉电子商行	NVIDIA	0506+	240	BGA
NF3-250GB-A2	from hqew, 捷辉电子商行	NVIDIA	0509+	63	BGA
NF3-250GB-A2	from hqew, 捷辉电子商行	NVIDIA	0501+	2	BGA
NF410-N-A3	from hqew, 捷辉电子商行	NVIDIA	0725+	72	BGA
NF-430-A2	from hqew, 捷辉电子商行	NVIDIA	0606+	67	BGA
NF-430-N-A3	from hqew, 捷辉电子商行	NVIDIA	0623+	2	BGA
NF4-SLI-A3	from hqew, 捷辉电子商行	NVIDIA	0520+	21	BGA
NF4-SLI-A3	from hqew, 捷辉电子商行	NVIDIA	0533+	13	BGA
NF4-SLI-MCP-A3	from hqew, 捷辉电子商行	NVIDIA	0512+	8	BGA
NF4-SLI-SPP-A2	from hqew, 捷辉电子商行	NVIDIA	0514+	43	BGA
NF4-SLI-SPP-A2	from hqew, 捷辉电子商行	NVIDIA	0512+	153	BGA
NF4-SLI-SPP-A3	from hqew, 捷辉电子商行	NVIDIA	0523+	3	BGA
NF4-SLI-SPP-A3	from hqew, 捷辉电子商行	NVIDIA	0534+	102	BGA
NF4-ULTRA-A3	from hqew, 捷辉电子商行	NVIDIA	0631+	21	BGA
NF4-ULTRA-A3	from hqew, 捷辉电子商行	NVIDIA	0501+	2	BGA
NF4-ULTRA-A3	from hqew, 捷辉电子商行	NVIDIA	0514+	1	BGA
NF500-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0616+	5	BGA
NF520-A3	from hqew, 捷辉电子商行	NVIDIA	0819+	23	BGA
NF520-A3	from hqew, 捷辉电子商行	NVIDIA	0752+	100	BGA
NF520-A3	from hqew, 捷辉电子商行	NVIDIA	0730+	2	BGA
NF520LE-A3	from hqew, 捷辉电子商行	NVIDIA	0729+	5	BGA
NF550-N-A2	from hqew, 捷辉电子商行	NVIDIA	0650+	6	BGA
NF550-N-A2	from hqew, 捷辉电子商行	NVIDIA	0645+	29	BGA
NF550-N-A2	from hqew, 捷辉电子商行	NVIDIA	0850+	157	BGA
NF550-N-A3	from hqew, 捷辉电子商行	NVIDIA	0718+	133	BGA
NF560-A3	from hqew, 捷辉电子商行	NVIDIA	0914+	10	BGA
NF560-A3	from hqew, 捷辉电子商行	NVIDIA	0841+	51	BGA
NF560-A3	from hqew, 捷辉电子商行	NVIDIA	0744+	13	BGA
NF560-A3	from hqew, 捷辉电子商行	NVIDIA	0739+	32	BGA
NF570-SLI-N-A3	from hqew, 捷辉电子商行	NVIDIA	0841+	31	BGA
NF570-SLI-N-A3	from hqew, 捷辉电子商行	NVIDIA	0829+	9	BGA
NF570-SLI-N-A3	from hqew, 捷辉电子商行	NVIDIA	0803+	2	BGA
NF570-SLI-N-A3	from hqew, 捷辉电子商行	NVIDIA	0735+	2	BGA
NF590-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0706+	63	BGA
NF590-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0726+	36	BGA
NF590-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0616+	37	BGA
NF590-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0640+	4	BGA
NF-6100-400-N-A2	from hqew, 捷辉电子商行	NVIDIA	0650+	9	BGA
NF-6100-400-N-A2	from hqew, 捷辉电子商行	NVIDIA	0632+	25	BGA
NF-6100-430-N-A2	from hqew, 捷辉电子商行	NVIDIA	0704+	9	BGA
NF-6100-430-N-A3	from hqew, 捷辉电子商行	NVIDIA	0914+	4	BGA
NF-6100-A2	from hqew, 捷辉电子商行	NVIDIA	0601+	6	BGA
NF-6100-N-A2	from hqew, 捷辉电子商行	NVIDIA	0632+	1	BGA
NF-6100-N-A2	from hqew, 捷辉电子商行	NVIDIA	0827+	16	BGA
NF-6100-N-A2	from hqew, 捷辉电子商行	NVIDIA	0852+	7	BGA
NF-6150-A2	from hqew, 捷辉电子商行	NVIDIA	0606+	12	BGA
NF-6150LE-N-A2	from hqew, 捷辉电子商行	NVIDIA	0638+	1	BGA
NF-6150LE-N-A2	from hqew, 捷辉电子商行	NVIDIA	0605+	13	BGA
NF-6150-N-A2	from hqew, 捷辉电子商行	NVIDIA	0546+	4	BGA
NF-6150-N-A2	from hqew, 捷辉电子商行	NVIDIA	0548+	7	BGA
NF650I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0714+	65	BGA
NF650I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0712+	137	BGA
NF680I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0823+	3	BGA
NF680I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0703+	420	BGA
NF680I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0649+	1	BGA
NF680I-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0718+	3	BGA
NF-7025-630A-A2	from hqew, 捷辉电子商行	NVIDIA	0748+	6	BGA
NF-7050-610I-A2	from hqew, 捷辉电子商行	NVIDIA	0921+	35	BGA
NF-7050-610I-A2	from hqew, 捷辉电子商行	NVIDIA	0745+	1	BGA
NF-7050-610I-A2	from hqew, 捷辉电子商行	NVIDIA	0823+	1	BGA
NF-7050-610I-A2	from hqew, 捷辉电子商行	NVIDIA	0927+	15	BGA
NF-7100-630I-A2	from hqew, 捷辉电子商行	NVIDIA	0752+	4	BGA
NF-7100-630I-A2	from hqew, 捷辉电子商行	NVIDIA	0927+	3	BGA
NF-7100-630I-A2	from hqew, 捷辉电子商行	NVIDIA	0940+	12	BGA
NF-7150-630I-A2	from hqew, 捷辉电子商行	NVIDIA	0739+	11	BGA
NF-7150-630I-A2	from hqew, 捷辉电子商行	NVIDIA	0748+	2	BGA
NF-7150-630I-A2	from hqew, 捷辉电子商行	NVIDIA	0823+	3	BGA
NF-740I-SLI-B2	from hqew, 捷辉电子商行	NVIDIA	0833+	1	BGA
NFP-2050-N-A3	from hqew, 捷辉电子商行	NVIDIA	0534+	61	BGA
NFP-2200-N-A3	from hqew, 捷辉电子商行	NVIDIA	0534+	40	BGA
NFP-3600-N-A3	from hqew, 捷辉电子商行	NVIDIA	0847+	5	BGA
NF-SPP190-N-A2	from hqew, 捷辉电子商行	NVIDIA	0619+	149	BGA
NF-SPP190-N-A2	from hqew, 捷辉电子商行	NVIDIA	0615+	181	BGA
NF-SPP190-N-A2	from hqew, 捷辉电子商行	NVIDIA	0637+	71	BGA
NG82910GL SL8BV	from hqew, 捷辉电子商行	INTEL	0528+	105	BGA
NG82915P SL7LY	from hqew, 捷辉电子商行	INTEL	0512+	27	BGA
NG82915P SL8BW	from hqew, 捷辉电子商行	INTEL	0536+	112	BGA
NG82915P SL8BW	from hqew, 捷辉电子商行	INTEL	0526+	35	BGA
NG82915PL SL8D6	from hqew, 捷辉电子商行	INTEL	0518+	329	BGA
NG82915PL SL8D6	from hqew, 捷辉电子商行	INTEL	0519+	50	BGA
NH82801EB SL7YC	from hqew, 捷辉电子商行	INTEL	0643+	8	BGA
NH82801EB SL7YC	from hqew, 捷辉电子商行	INTEL	0844+	7	BGA
NH82801EB SL7YC	from hqew, 捷辉电子商行	INTEL	0724+	142	BGA
NH82801FB SL89L	from hqew, 捷辉电子商行	INTEL	0905+	7	BGA
NH82801FB SL89L	from hqew, 捷辉电子商行	INTEL	0850+	360	BGA
NH82801FB/SL89L	from hqew, 捷辉电子商行	INTEL	0847+	360	BGA
NH82801GDH SL8UK	from hqew, 捷辉电子商行	INTEL	0615+	1	BGA
NH82801GDH SL8UK	from hqew, 捷辉电子商行	INTEL	0604+	1	BGA
NH82801GDH SL8UK	from hqew, 捷辉电子商行	INTEL	0703+	42	BGA
NH82801GHM SL8YR	from hqew, 捷辉电子商行	INTEL	0610+	30	BGA
NH82801GHM SL8YR	from hqew, 捷辉电子商行	INTEL	0627+	2	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0701+	5	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0640+	78	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0638+	65	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0642+	39	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0637+	53	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0720+	26	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0632+	18	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0633+	12	BGA
NH82801HB SL9MN	from hqew, 捷辉电子商行	INTEL	0650+	1	BGA
NH82801HH SL9ML	from hqew, 捷辉电子商行	INTEL	0632+	45	BGA
NH82801HH SL9ML	from hqew, 捷辉电子商行	INTEL	0622+	2	BGA
NH82801HO SL742	from hqew, 捷辉电子商行	INTEL	0719+	70	BGA
NH82801HO SL9MM	from hqew, 捷辉电子商行	INTEL	0722+	78	BGA
NH82801HO SL9MM	from hqew, 捷辉电子商行	INTEL	0707+	65	BGA
NH82801HR SL9MK	from hqew, 捷辉电子商行	INTEL	0639+	130	BGA
NH82801HR SL9MK	from hqew, 捷辉电子商行	INTEL	0629+	87	BGA
NH82801HR SL9MK	from hqew, 捷辉电子商行	INTEL	0633+	44	BGA
NH82801HR SL9MK	from hqew, 捷辉电子商行	INTEL	0627+	45	BGA
NH82801HR SL9MK	from hqew, 捷辉电子商行	INTEL	0628+	3	BGA
NH82801HR SL9MK	from hqew, 捷辉电子商行	INTEL	0625+	5	BGA
NH82801IB SLA9M	from hqew, 捷辉电子商行	INTEL	0741+	5	BGA
NH82801IB SLA9M	from hqew, 捷辉电子商行	INTEL	0802+	4	BGA
NH82801IO SLAFD	from hqew, 捷辉电子商行	INTEL	0833+	47	BGA
NH82801IR SLA9N	from hqew, 捷辉电子商行	INTEL	0735+	5	BGA
NQ82915PM SL8G3	from hqew, 捷辉电子商行	INTEL	0549+	50	BGA
NQ82915PM SL8G3	from hqew, 捷辉电子商行	INTEL	0541+	50	BGA
NQE7520MC SL7XT	from hqew, 捷辉电子商行	INTEL	0644+	20	BGA
NU82X38 SLALJ	from hqew, 捷辉电子商行	INTEL	0744+	9	BGA
NU82X38 SLALJ	from hqew, 捷辉电子商行	INTEL	0735+	89	BGA
NU82X48 SLASF	from hqew, 捷辉电子商行	INTEL	0809+	4	BGA
NU82X48 SLASF	from hqew, 捷辉电子商行	INTEL	0806+	5	BGA
NV102-A2	from hqew, 捷辉电子商行	NVIDIA	0921+	24	BGA
NV102-A2	from hqew, 捷辉电子商行	NVIDIA	1020+	16	BGA
NV102-A2	from hqew, 捷辉电子商行	NVIDIA	0919+	15	BGA
